text,target
"어, 청소 니가 대신 해 줘!",neutral
둘 다 청소 하기 싫어. 귀찮아.,neutral
둘 다 하기 싫어서 화내.,angry
그럼 방세는 어떡해.,sadness
권태긴줄 알았는데 다른 사람이 생겼나보더라고.,sadness
어. 고등학교 동창인데 이렇게 더럽게 쓸줄 몰랐어.,disgust
처음 학원에서 만났다가 서로 좋아해서 사귀게 되었지.,neutral
내가 애정 표현을 잘 못해서 자주 싸우긴 했어.,sadness
그러고 싶은데 보증금 때문에 그럴 수가 없어.,sadness
이 회사가 이번 시즌 마지막 회사였어.,sadness
부모님한테 아직 말 안했는데 말하기가 두려워.,sadness
응. 혼 났지.,neutral
그럴 시간도 없다.,sadness
부모님도 다 슬퍼하셔.,sadness
"해봤는데, 전화를 안 받네.",neutral
맨날 그래 얘는.,angry
어. 크게 다치진 않았는데.,neutral
일주일에 다섯번은 먹는다니까?,surprise
그저께 아파해서 병원을 갔는데 괜찮아지나 싶더니 결국엔 이렇게 됐네.,sadness
"다들 마음이 안좋지. 집에 들어가기도 싫네, 나는.",sadness
응. 그래봐야지. 해피도 오래 살긴 했어.,sadness
그렇지. 뭐 생명까지는 괜찮은데. 우리 마음에 지장이 있네.,sadness
"지난 번에도 드시고 다친 적 있었거든, 얼굴? 이번에 또 그런 거야.",sadness
"다들 지쳤어. 나도 지쳤구, 이제.",sadness
어제 밤 새서 작성한 기획안 다시 해야되네.,sadness
"그렇지. 아픈데도 했더니, 참, 근데 맞는 말이라서.",sadness
응. 마음 좀 추스려야지. 근데 내가 잘하는게 없는 거 같네.,sadness
모르겠어. 좀 최대한 추스려볼게.,sadness
노력하면 괜찮아지겠지. 근데 내가 실력이 부족한 건 맞아.,sadness
청소 좀 하고 살자.,angry
응. 그 동안 괜찮았는데.,sadness
응. 인제 병원에서 퇴원하는 길이야.,neutral
어제 지진 있었잖아. 다행히 다치진 않았어.,neutral
옆에서 친구가 넘어져서 발목 다쳤어.,neutral
아니 룸메이트 하기 전에는 그냥 학교에서만 알던 사이?,neutral
또 술 먹고 그랬지 뭐. 지금 병원에 계셔.,sadness
"했는데 소용 없어. 다 포기했어, 지금은.",sadness
응. 걷고 있어.,sadness
아휴. 이제 내년 거 준비해야지 뭐.,sadness
너무 죄송해서 말도 못하겠어.,sadness
응. 다리 조금 다쳤는데 좀 쉬면 괜찮아질 것 같아.,neutral
대학교 때 동아리 선배였었어.,sadness
우리는 싸울 일이 전혀 없었어.,sadness
두 달 됐나봐. 일년 지난 거 같아.,sadness
내일부터 다시 다른데 알아보려고.,sadness
먹었지. 이미 너무 늦은 시간인걸.,sadness
지난달에 내가 분명히 얘기 했거든? 근데 며칠 가지도 않아.,angry
어제 지진 난 거 알아?,surprise
친구가 좀 심하게 다쳤어.,neutral
당연히 따로 살고 싶은데 자취방 보증금을 나 혼자 어떻게 내.,angry
벌써 30분은 지난 거 같애.,angry
전화했는데 다와간다는데 안오네 아직도.,angry
"가끔 한 번씩 그러긴 하는데, 오늘은 좀 심하네. 아, 화나!",angry
응. 치워야 되는데 어떡하지? 누가 치우지도 않고 갔네?,disgust
그래야겠다. 좀 이따 보고 내가 치우든지 해야겠다.,disgust
나 이번 회사 면접 또 떨어졌어.,sadness
엄마 아빠 얼굴도 못 보겠어서 괜히 밖에 돌아다니고 있어.,sadness
당연히 얘기 못했지. 지금 집에도 못 들어가고 있는데.,sadness
계속 걱정하느라 밥 생각도 안나.,sadness
"지금 저녁 약속 있어서 친구 기다리는데, 얘가 올 생각을 안 해.",angry
벌써 한 시간이 넘었다. 미친 거 아니야?,angry
당연히 연락 해봤지! 근데 답장도 잘 안해.,angry
어휴 얘 고등학교 때부터 그랬어.,angry
이걸로 몇 번 싸우기도 했는데 도대체 들어먹질 않어.,angry
